N,m
7.067623639591951132e+02,9.526521463206314433e-01
7.078144527235751866e+02,9.357056626550247502e-01
7.022951580464557537e+02,9.518853843347914179e-01
7.038932201050156436e+02,9.394400464259337058e-01
7.026375012727992271e+02,9.554533445339743469e-01
6.974084845295668629e+02,9.407926191767163049e-01
6.927937570197946116e+02,9.279967713234105187e-01
6.927937570197946116e+02,9.279967713234105187e-01
6.924816463438970686e+02,9.257210255753260952e-01
6.912935053230487483e+02,9.284966596533333894e-01
6.929047350175234214e+02,9.466021372084325591e-01
7.030593192315318447e+02,9.499027032354010469e-01
7.113620840831923715e+02,9.410440227852971962e-01
7.166183510007151654e+02,9.673162944576081390e-01
7.209969447184399769e+02,9.788271532911007045e-01
7.263206951861667449e+02,9.688657863283089977e-01
7.240831000687238657e+02,9.528830636378871066e-01
7.258786776241286134e+02,9.890221872973078421e-01
7.255497761609882446e+02,9.607890104198513193e-01
7.302323893232884302e+02,9.960832828570825859e-01
7.322153991017784165e+02,9.609038043840428811e-01
7.289207023377915675e+02,9.663757819683193029e-01
7.251207851198649905e+02,9.488307903714321423e-01
7.224668806986434220e+02,9.784603944154131039e-01
7.206552883546892190e+02,9.823254948571739087e-01
7.196490737492393919e+02,9.456398127568124146e-01
7.156396266592247457e+02,9.703983107494892346e-01
7.142426451398082463e+02,9.554243504102809537e-01
7.142426451398082463e+02,9.554243504102809537e-01
7.195866784719069074e+02,9.778289046387576011e-01
7.306531697136173307e+02,9.574898838077843255e-01
7.291579439566120300e+02,9.872495553167255355e-01
7.291579439566120300e+02,9.872495553167255355e-01
7.293254067659612474e+02,9.938111350176570546e-01
7.352114018461491014e+02,1.006721493292680902e+00
7.360278701945666171e+02,9.915301496475376064e-01
7.327317313601452042e+02,9.939897586232196991e-01
7.407710551889174440e+02,9.980389145157745334e-01
7.376405202777846171e+02,9.860891759591770001e-01
7.404913466485459139e+02,9.716138225569925790e-01
7.460217324986721223e+02,9.679680650553991184e-01
7.513669722128468038e+02,9.756811382778491915e-01
7.549604955081742901e+02,1.018717936587590023e+00
7.494932719207238279e+02,9.906372532000425890e-01
7.419288151272774030e+02,9.900545103469203800e-01
7.433895406447784353e+02,9.605497102815097055e-01
7.512990510535692010e+02,1.012531454922490859e+00
7.488318316847506821e+02,1.004180086117234305e+00
7.461563513716743046e+02,9.989627720897036323e-01
7.483100148623683481e+02,9.968431932733535783e-01
7.524417035035088475e+02,1.014817652109731849e+00
7.533619562502728968e+02,1.005631396385012089e+00
7.600316042558242771e+02,9.928358213035585189e-01
7.600316042558242771e+02,9.928358213035585189e-01
7.557648257275883452e+02,1.025447221192338221e+00
7.472925009445572186e+02,9.985601296572471641e-01
7.407347030344513996e+02,9.941120893903778732e-01
7.442203687764473443e+02,9.998678669370585359e-01
